Book Name,Author,Category,Year,ISBN,Description
"Pattern Recognition and Machine Learning","Christopher Bishop","Machine Learning",2006,"978-0387310732","Covers probability theory and Bayesian methods."
"Deep Learning","Ian Goodfellow, Yoshua Bengio, Aaron Courville","Deep Learning",2016,"978-0262035613","Fundamentals of deep learning and neural networks."
"Mathematics for Machine Learning","Marc Peter Deisenroth, A. Aldo Faisal, Cheng Soon Ong","Mathematics",2020,"978-1108455145","Linear algebra, probability, and optimization for ML."
"Computer Vision: Algorithms and Applications","Richard Szeliski","Computer Vision",2010,"978-1848829343","Comprehensive guide to image processing and recognition."
"Artificial Intelligence: A Modern Approach","Stuart Russell, Peter Norvig","Artificial Intelligence",2020,"978-0134610993","Covers AI search algorithms, ML, and logic."
"Reinforcement Learning: An Introduction","Richard S. Sutton, Andrew G. Barto","Reinforcement Learning",2018,"978-0262039246","Fundamentals of RL, policy learning, and deep RL."
"Introduction to the Theory of Computation","Michael Sipser","Computer Science Theory",2012,"978-1133187790","Explains automata, complexity, and formal languages."
"Computer Networking: A Top-Down Approach","James F. Kurose, Keith W. Ross","Networking",2017,"978-0133594140","Covers OSI model, TCP/IP, and network applications."
"Operating System Concepts","Abraham Silberschatz, Greg Gagne, Peter B. Galvin","Operating Systems",2021,"978-1119800361","Discusses process management, memory, and virtualization."
"Database System Concepts","Abraham Silberschatz, Henry F. Korth, S. Sudarshan","Databases",2019,"978-1260084504","Explains relational databases, SQL, and transaction processing."
"Introduction to the Design and Analysis of Algorithms","Anany Levitin","Algorithms",2017,"978-0132316811","Covers sorting, graph algorithms, and dynamic programming."
"Computer Organization and Design","David A. Patterson, John L. Hennessy","Computer Architecture",2021,"978-0128201091","Discusses hardware, instruction sets, and RISC-V architecture."
"Modern Robotics: Mechanics, Planning, and Control","Kevin M. Lynch, Frank C. Park","Robotics",2017,"978-1107156302","Foundational concepts in kinematics, dynamics, and control."
"Robot Modeling and Control","Mark W. Spong, Seth Hutchinson, M. Vidyasagar","Robotics",2006,"978-0471649908","Covers robot dynamics, motion planning, and control."
"Introduction to Algorithms","Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","Algorithms",2009,"978-0262033842","Comprehensive guide to algorithm design and analysis."
"Data Science for Business","Foster Provost, Tom Fawcett","Data Science",2013,"978-1449361327","Explains practical data science techniques for decision-making."
"Python Machine Learning","Sebastian Raschka, Vahid Mirjalili","Machine Learning",2019,"978-1789955750","Covers ML techniques using Python and Scikit-learn."
"Compilers: Principles, Techniques, and Tools","Alfred V. Aho, Monica S. Lam, Ravi Sethi, Jeffrey D. Ullman","Compilers",2006,"978-0321486813","Classic 'Dragon Book' on compiler design and optimization."
"Computer Graphics: Principles and Practice","John F. Hughes, Andries van Dam, Morgan McGuire","Computer Graphics",2013,"978-0321399526","Explains rendering, modeling, and animation techniques."
"Cybersecurity and Cyberwar","P.W. Singer, Allan Friedman","Cybersecurity",2014,"978-0199918119","Introduction to cybersecurity, hacking, and digital warfare."
